R0_target,start,R0_check,loss_total,loss_post,loss_early,beta_scale,i0,s_a,calib_a,calib_b,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x
1.24,1,1.24,0.5449,0.3179,0.227,0.9052,3.1825721657763486,0.4902025458519009,0.5224960467008329,0.38503886784310654,0.4469846518373137,0.47115196927212505,0.6322930967926222,0.4055802342524441,11.948897900097638,12.179344066070644,2.4725881147601476,0.000537006423077391,82684,14189,10639,18097,8235,5.827,0.75,1.275,0.58
3.0,0,3.0,4.2167,3.4922,0.7245,1.8272,3.1484873302908043,0.4788948153557964,0.8006134758764502,0.41010569249682455,0.7268181977962369,0.3393218797916535,0.3486727300257733,0.8148010803281986,8.248428571340686,12.472483906269101,2.4611336752981847,2.8511048335845048e-08,3673330,30763,7483,133305,2367,119.408,0.243,4.333,0.077
7.28,0,7.28,0.752,0.7443,0.0077,1.6534,0.7133435135936379,0.3352388490773259,4.171289368722424,0.05299868267001437,0.7965237412593643,0.989681742713245,0.023269625325659175,0.4119784094377155,0.500147718738108,5.813536051931681,6.888586624292973,9.999999999999982e-09,2772171,15343,553,383461,32,180.683,0.036,24.993,0.002
16.3,0,16.3,21192.1666,21135.5792,56.5875,1.3144,0.05000000000000001,0.05000000000000002,4.999999999999998,0.05000000000000001,0.99,0.010000000000000004,0.99,0.010000000000000004,25.0,5.05,0.05000000000000003,0.010000000000000014,418223,418201,418315,418225,418459,1.0,1.0,1.0,1.001
