R0_target,start,R0_check,loss_total,loss_post,loss_early,beta_scale,i0,s_a,calib_a,calib_b,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x
1.24,0,1.24,0.5187,0.5028,0.0159,0.8497,2.952711765065384,0.4773838289565396,0.5774141216029941,0.43424153102003193,0.8983517236585823,0.33316383983777703,0.46593982073344625,0.5491597520224479,8.431945350196038,12.621081585995636,1.9477961578319518,0.0002876046517670912,58020,13338,9736,19816,7707,4.35,0.73,1.486,0.578
1.24,1,1.24,0.5449,0.3179,0.227,0.9052,3.1825721657763486,0.4902025458519009,0.5224960467008329,0.38503886784310654,0.4469846518373137,0.47115196927212505,0.6322930967926222,0.4055802342524441,11.948897900097638,12.179344066070644,2.4725881147601476,0.000537006423077391,82684,14189,10639,18097,8235,5.827,0.75,1.275,0.58
3.0,0,3.0,4.2167,3.4922,0.7245,1.8272,3.1484873302908043,0.4788948153557964,0.8006134758764502,0.41010569249682455,0.7268181977962369,0.3393218797916535,0.3486727300257733,0.8148010803281986,8.248428571340686,12.472483906269101,2.4611336752981847,2.8511048335845048e-08,3673330,30763,7483,133305,2367,119.408,0.243,4.333,0.077
3.0,1,3.0,34758.0854,34758.0392,0.0463,2.0776,3.3507593146598356,0.483799865957103,0.6256302878129273,0.423369476616822,0.3955332020311497,0.40070241980561316,0.59731054203436,0.24977994814471688,11.9830453303683,12.992038785179986,2.000151026308217,4.723742521615029e-05,7228871,2716393,2111521,3557544,1464258,2.661,0.777,1.31,0.539
7.28,0,7.28,0.752,0.7443,0.0077,1.6534,0.7133435135936379,0.3352388490773259,4.171289368722424,0.05299868267001437,0.7965237412593643,0.989681742713245,0.023269625325659175,0.4119784094377155,0.500147718738108,5.813536051931681,6.888586624292973,9.999999999999982e-09,2772171,15343,553,383461,32,180.683,0.036,24.993,0.002
7.28,1,7.28,1.827,1.8002,0.0268,2.1316,2.308986316921876,0.4871909600898553,3.6471657285820176,0.21824749107792343,0.0100001732380508,0.5351725924395604,0.020530113763329277,0.011012424308018721,3.5219848709762855,24.78658585999644,0.050000000236930214,1.0000000000302355e-08,4029861,30734,1379,543444,101,131.122,0.045,17.682,0.003
16.3,0,16.3,21192.1666,21135.5792,56.5875,1.3144,0.05000000000000001,0.05000000000000002,4.999999999999998,0.05000000000000001,0.99,0.010000000000000004,0.99,0.010000000000000004,25.0,5.05,0.05000000000000003,0.010000000000000014,418223,418201,418315,418225,418459,1.0,1.0,1.0,1.001
16.3,1,16.3,358173.3662,357706.6124,466.7538,57.2912,0.05011465605300216,0.9499999999993015,0.05000000000008394,0.05000000000000001,0.99,0.010000000000000004,0.020000000000000004,0.010000000000000004,0.5000000210688783,5.050000000000136,6.99,9.999999999999982e-09,8268403,1806515,638680,4204766,402119,4.577,0.354,2.328,0.223
